ZIPCode,State,City,Latitude,Longitude
43204,OH,Valleyview,39.96,-83.08
43205,OH,Columbus,39.96,-82.97
43206,OH,Columbus,39.94,-82.98
43207,OH,Columbus,39.9,-82.97
43207,OH,Obetz,39.9,-82.97
43209,OH,Columbus,39.96,-82.93
43209,OH,Bexley,39.96,-82.93
43210,OH,Columbus,40.01,-83.02
43211,OH,Columbus,40.01,-82.97
43212,OH,Columbus,39.99,-83.04
43212,OH,Grandview,39.99,-83.04
43212,OH,Grandview Heights,39.99,-83.04
43212,OH,Marble Cliff,39.99,-83.04
43212,OH,Upper Arlington,39.99,-83.04
43212,OH,Upper Arlngtn,39.99,-83.04
43213,OH,Columbus,39.97,-82.87
43213,OH,Whitehall,39.97,-82.87
43214,OH,Columbus,40.05,-83.02
43215,OH,Columbus,39.97,-83.01
43216,OH,Columbus,39.97,-82.9
43217,OH,Columbus,39.82,-82.94
43217,OH,Rickenbacker Air Force Base,39.82,-82.94
43218,OH,Columbus,39.97,-83.01
43219,OH,Columbus,40.01,-82.93
43220,OH,Columbus,40.05,-83.07
43220,OH,Upper Arlington,40.05,-83.07
43220,OH,Upper Arlngtn,40.05,-83.07
43221,OH,Columbus,40.03,-83.08
43221,OH,Upper Arlington,40.03,-83.08
43221,OH,Upper Arlngtn,40.03,-83.08
43222,OH,Columbus,39.96,-83.03
43223,OH,Columbus,39.93,-83.04
43224,OH,Columbus,40.04,-82.97
43226,OH,Columbus,40.1,-82.99
43227,OH,Columbus,39.95,-82.89
43228,OH,Columbus,39.96,-83.13
43228,OH,New Rome,39.96,-83.13
43229,OH,Columbus,40.08,-82.97
43230,OH,Columbus,40.04,-82.87
43230,OH,Gahanna,40.04,-82.87
43231,OH,Columbus,40.08,-82.94
43232,OH,Columbus,39.92,-82.87
43234,OH,Columbus,40.1,-83.06
43235,OH,Columbus,40.1,-83.05
43236,OH,Columbus,40,-82.89
